iter	Passed	Remaining
0	313	93596
1	601	89624
2	892	88377
3	1188	87971
4	1485	87618
5	1786	87549
6	2057	86112
7	2335	85252
8	2620	84742
9	2922	84761
10	3199	84051
11	3502	84050
12	3806	84036
13	4096	83682
14	4384	83301
15	4653	82592
16	4938	82215
17	5207	81591
18	5480	81053
19	5758	80623
20	6070	80649
21	6342	80142
22	6618	79709
23	6909	79459
24	7182	79010
25	7471	78742
26	7752	78391
27	8057	78271
28	8360	78125
29	8634	77707
30	8911	77326
31	9182	76900
32	9516	76999
33	9797	76651
34	10083	76343
35	10358	75962
36	10630	75563
37	10938	75417
38	11204	74984
39	11463	74511
40	11755	74262
41	12038	73953
42	12321	73641
43	12592	73267
44	12897	73083
45	13165	72697
46	13450	72401
47	13724	72052
48	14008	71758
49	14298	71491
50	14576	71169
51	14846	70807
52	15149	70601
53	15428	70286
54	15702	69946
55	15977	69614
56	16282	69416
57	16560	69098
58	16823	68720
59	17123	68492
60	17387	68122
61	17679	67865
62	17959	67561
63	18255	67317
64	18549	67061
65	18855	66852
66	19127	66518
67	19398	66183
68	19688	65912
69	20015	65764
70	20319	65539
71	20643	65369
72	20976	65228
73	21288	65015
74	21633	64901
75	21898	64543
76	22172	64213
77	22438	63863
78	22825	63852
79	23090	63497
80	23372	63191
81	23633	62831
82	23928	62560
83	24181	62180
84	24457	61862
85	24719	61511
86	24999	61206
87	25254	60839
88	25532	60532
89	25798	60196
90	26082	59903
91	26355	59585
92	26646	59309
93	26911	58976
94	27194	58683
95	27477	58389
96	27732	58037
97	28020	57755
98	28280	57418
99	28549	57099
100	28814	56774
101	29111	56511
102	29393	56218
103	29717	56005
104	30003	55720
105	30259	55379
106	30525	55060
107	30794	54746
108	31055	54417
109	31330	54115
110	31593	53794
111	31852	53466
112	32123	53160
113	32414	52886
114	32686	52582
115	32958	52278
116	33259	52020
117	33516	51695
118	33806	51419
119	34067	51100
120	34332	50789
121	34620	50511
122	34883	50197
123	35155	49898
124	35425	49595
125	35703	49304
126	35962	48988
127	36236	48693
128	36496	48379
129	36770	48084
130	37028	47769
131	37316	47493
132	37584	47192
133	37845	46882
134	38124	46596
135	38393	46298
136	38678	46018
137	38956	45731
138	39207	45412
139	39502	45145
140	39772	44849
141	40061	44575
142	40321	44269
143	40590	43973
144	40867	43685
145	41172	43428
146	41436	43127
147	41698	42825
148	42000	42564
149	42272	42272
150	42537	41973
151	42808	41682
152	43100	41409
153	43359	41107
154	43617	40803
155	43863	40489
156	44114	40180
157	44388	39893
158	44648	39593
159	44912	39298
160	45172	38999
161	45440	38708
162	45689	38401
163	45949	38104
164	46189	37791
165	46480	37520
166	46745	37228
167	47012	36938
168	47263	36636
169	47520	36339
170	47798	36058
171	48049	35757
172	48293	35452
173	48569	35170
174	48821	34872
175	49069	34571
176	49394	34325
177	49661	34037
178	49922	33746
179	50174	33449
180	50456	33173
181	50722	32885
182	50988	32598
183	51252	32311
184	51547	32043
185	51821	31761
186	52084	31473
187	52362	31194
188	52647	30920
189	52906	30629
190	53157	30336
191	53431	30055
192	53687	29764
193	53973	29490
194	54246	29209
195	54518	28928
196	54786	28644
197	55058	28363
198	55323	28078
199	55594	27797
200	55865	27515
201	56115	27224
202	56378	26939
203	56626	26647
204	56893	26365
205	57165	26085
206	57454	25812
207	57730	25534
208	57987	25248
209	58264	24970
210	58530	24688
211	58810	24412
212	59068	24126
213	59327	23841
214	59600	23562
215	59861	23279
216	60151	23007
217	60410	22723
218	60674	22441
219	60936	22158
220	61205	21878
221	61485	21602
222	61734	21316
223	62016	21041
224	62264	20754
225	62543	20478
226	62808	20198
227	63058	19913
228	63329	19634
229	63597	19355
230	63883	19081
231	64150	18802
232	64425	18525
233	64699	18248
234	64953	17965
235	65248	17694
236	65499	17411
237	65775	17134
238	66050	16858
239	66339	16584
240	66596	16303
241	66863	16025
242	67130	15746
243	67402	15469
244	67695	15196
245	67951	14916
246	68227	14639
247	68492	14361
248	68778	14087
249	69057	13811
250	69320	13532
251	69577	13252
252	69877	12981
253	70136	12701
254	70420	12427
255	70702	12152
256	70979	11875
257	71237	11596
258	71480	11315
259	71751	11038
260	72018	10761
261	72301	10486
262	72566	10208
263	72832	9931
264	73099	9654
265	73350	9375
266	73624	9099
267	73878	8821
268	74159	8546
269	74434	8270
270	74697	7993
271	74958	7716
272	75207	7438
273	75511	7165
274	75852	6895
275	76154	6622
276	76411	6344
277	76688	6068
278	76980	5794
279	77227	5516
280	77449	5236
281	77691	4959
282	77953	4682
283	78194	4405
284	78443	4128
285	78703	3852
286	78960	3576
287	79181	3299
288	79395	3021
289	79629	2745
290	79878	2470
291	80139	2195
292	80375	1920
293	80598	1644
294	80815	1369
295	81022	1094
296	81262	820
297	81481	546
298	81700	273
299	81912	0
