iter	Passed	Remaining
0	84	25314
1	164	24520
2	241	23917
3	315	23353
4	391	23073
5	470	23068
6	551	23066
7	632	23085
8	705	22798
9	773	22437
10	824	21655
11	873	20953
12	925	20422
13	976	19938
14	1020	19388
15	1070	18993
16	1120	18652
17	1176	18433
18	1223	18094
19	1267	17744
20	1317	17508
21	1366	17263
22	1426	17180
23	1488	17115
24	1548	17031
25	1595	16813
26	1649	16674
27	1710	16614
28	1759	16437
29	1809	16284
30	1857	16118
31	1906	15965
32	1954	15810
33	2017	15780
34	2069	15668
35	2117	15528
36	2167	15404
37	2217	15291
38	2264	15157
39	2321	15090
40	2369	14969
41	2419	14864
42	2471	14770
43	2527	14707
44	2574	14590
45	2619	14465
46	2664	14344
47	2711	14234
48	2758	14131
49	2801	14008
50	2846	13897
51	2890	13783
52	2935	13681
53	2982	13585
54	3027	13484
55	3074	13393
56	3121	13306
57	3169	13223
58	3217	13144
59	3266	13065
60	3314	12986
61	3366	12921
62	3413	12841
63	3462	12766
64	3510	12693
65	3562	12631
66	3618	12582
67	3664	12503
68	3723	12465
69	3767	12378
70	3808	12282
71	3852	12199
72	3907	12150
73	3963	12103
74	4008	12025
75	4051	11942
76	4100	11875
77	4144	11795
78	4190	11724
79	4234	11644
80	4279	11570
81	4322	11491
82	4367	11417
83	4413	11349
84	4466	11298
85	4512	11228
86	4554	11150
87	4602	11088
88	4645	11014
89	4689	10941
90	4737	10881
91	4785	10819
92	4828	10747
93	4874	10682
94	4920	10617
95	4961	10543
96	5002	10468
97	5043	10395
98	5087	10329
99	5129	10259
100	5180	10206
101	5223	10139
102	5268	10077
103	5316	10019
104	5361	9956
105	5405	9893
106	5449	9828
107	5497	9772
108	5541	9710
109	5590	9657
110	5634	9594
111	5677	9529
112	5720	9466
113	5763	9403
114	5810	9346
115	5855	9288
116	5901	9231
117	5951	9179
118	5994	9117
119	6034	9051
120	6078	8991
121	6123	8934
122	6166	8873
123	6209	8813
124	6253	8755
125	6300	8700
126	6339	8635
127	6387	8583
128	6429	8523
129	6478	8472
130	6524	8416
131	6566	8357
132	6614	8305
133	6659	8249
134	6703	8193
135	6746	8134
136	6797	8087
137	6839	8029
138	6883	7973
139	6926	7916
140	6969	7859
141	7011	7801
142	7057	7748
143	7103	7695
144	7147	7640
145	7190	7584
146	7238	7534
147	7286	7483
148	7335	7433
149	7379	7379
150	7426	7328
151	7477	7280
152	7525	7230
153	7572	7178
154	7621	7129
155	7671	7081
156	7717	7029
157	7764	6978
158	7809	6925
159	7855	6873
160	7902	6822
161	7949	6771
162	7999	6723
163	8047	6673
164	8097	6625
165	8145	6575
166	8191	6523
167	8234	6470
168	8289	6425
169	8333	6372
170	8385	6325
171	8426	6270
172	8468	6216
173	8512	6164
174	8558	6113
175	8606	6063
176	8653	6013
177	8700	5962
178	8746	5912
179	8792	5861
180	8840	5812
181	8889	5763
182	8935	5712
183	8980	5661
184	9023	5609
185	9071	5560
186	9114	5507
187	9154	5453
188	9199	5402
189	9243	5351
190	9287	5300
191	9338	5253
192	9394	5208
193	9440	5158
194	9491	5111
195	9539	5061
196	9596	5017
197	9650	4971
198	9703	4925
199	9753	4876
200	9797	4825
201	9842	4775
202	9886	4724
203	9932	4673
204	9977	4623
205	10027	4575
206	10069	4524
207	10110	4471
208	10158	4423
209	10210	4375
210	10260	4328
211	10312	4280
212	10358	4231
213	10404	4181
214	10446	4129
215	10556	4105
216	10632	4066
217	10685	4019
218	10737	3971
219	10777	3919
220	10819	3867
221	10872	3820
222	10918	3770
223	10968	3721
224	11017	3672
225	11063	3622
226	11118	3575
227	11164	3525
228	11207	3474
229	11249	3423
230	11291	3372
231	11338	3323
232	11385	3273
233	11433	3224
234	11475	3173
235	11518	3123
236	11561	3073
237	11600	3021
238	11641	2971
239	11688	2922
240	11730	2871
241	11773	2821
242	11813	2770
243	11858	2721
244	11907	2673
245	11959	2625
246	12013	2577
247	12061	2528
248	12101	2478
249	12142	2428
250	12188	2379
251	12246	2332
252	12302	2285
253	12352	2237
254	12403	2188
255	12451	2140
256	12508	2092
257	12568	2046
258	12622	1998
259	12665	1948
260	12711	1899
261	12756	1850
262	12814	1802
263	12874	1755
264	12930	1707
265	12991	1660
266	13041	1611
267	13092	1563
268	13138	1514
269	13186	1465
270	13232	1416
271	13280	1367
272	13327	1318
273	13377	1269
274	13431	1221
275	13487	1172
276	13545	1124
277	13599	1076
278	13648	1027
279	13703	978
280	13757	930
281	13809	881
282	13857	832
283	13906	783
284	13953	734
285	14002	685
286	14044	636
287	14092	587
288	14135	538
289	14178	488
290	14225	439
291	14271	391
292	14313	341
293	14359	293
294	14405	244
295	14451	195
296	14498	146
297	14546	97
298	14594	48
299	14640	0
